,id_usuario,resgate,Ultima_compra,ultimas_compras,numero_ultimas_compras_x,data_impacto,IPT_x,ipt_campanha_x,delta,ipt_impacto_x,delta_resgate_x,IPT_y,ipt_impacto_y,delta_resgate_y,ipt_campanha_y,numero_ultimas_compras_y,delta_ipt,result_rel
424,6480531,2019-05-29T18:30:12.000-03:00,2019-05-24T15:17:08.000-03:00,"10/04/2019,03/05/2019,15/05/2019,22/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,11.0,5,-6.0,2,2,11.0,2,2,5,5,0.18181818181818177,0.45454545454545453
425,5826134,2019-05-28T14:55:57.000-03:00,2019-05-24T15:14:01.000-03:00,"30/03/2019,10/04/2019,15/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,18.333333333333332,3,-15.333333333333332,2,1,18.333333333333332,2,1,3,4,0.10909090909090913,0.16363636363636364
426,2130277,2019-05-27T14:58:17.000-03:00,2019-05-24T17:03:46.000-03:00,"27/04/2019,02/05/2019,19/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,9.0,2,-7.0,2,0,9.0,2,0,2,4,0.2222222222222222,0.2222222222222222
427,2875488,2019-05-28T23:55:22.000-03:00,2019-05-24T23:16:47.000-03:00,"08/04/2019,02/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,23.0,4,-19.0,2,1,23.0,2,1,4,3,0.08695652173913049,0.17391304347826086
428,6785750,2019-05-30T16:50:18.000-03:00,2019-05-24T23:27:29.000-03:00,"01/04/2019,24/05/2019,12/04/2019,15/04/2019,23/04/2019,29/04/2019,03/05/2019",7,2019-05-27 00:00:00-03:00,8.833333333333334,5,-3.833333333333334,2,3,8.833333333333334,2,3,5,7,0.2264150943396226,0.5660377358490566
429,8054850,2019-05-27T15:13:27.000-03:00,2019-05-24T15:13:52.000-03:00,"05/04/2019,11/04/2019,17/04/2019,24/04/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,12.25,2,-10.25,2,0,12.25,2,0,2,5,0.16326530612244894,0.16326530612244897
430,7556762,2019-05-27T17:37:22.000-03:00,2019-05-24T18:29:10.000-03:00,"28/03/2019,02/04/2019,06/04/2019,29/04/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,14.25,2,-12.25,2,0,14.25,2,0,2,5,0.14035087719298245,0.14035087719298245
431,8295008,2019-05-28T16:02:59.000-03:00,2019-05-24T16:07:54.000-03:00,"02/04/2019,29/04/2019,09/04/2019,30/04/2019,11/04/2019,06/05/2019,15/04/2019,21/05/2019,16/04/2019,24/05/2019,22/04/2019",11,2019-05-27 00:00:00-03:00,5.2,3,-2.2,2,1,5.2,2,1,3,11,0.3846153846153846,0.5769230769230769
432,3803028,2019-05-27T23:16:49.000-03:00,2019-05-24T18:04:16.000-03:00,"30/03/2019,15/05/2019,17/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,18.333333333333332,3,-15.333333333333332,2,0,18.333333333333332,2,0,3,4,0.10909090909090913,0.16363636363636364
433,9410886,2019-05-28T21:09:11.000-03:00,2019-05-24T20:20:35.000-03:00,"08/05/2019,10/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,8.0,4,-4.0,2,1,8.0,2,1,4,3,0.25,0.5
434,1636095,2019-05-27T14:33:00.000-03:00,2019-05-24T15:26:33.000-03:00,"01/04/2019,13/05/2019,04/04/2019,14/05/2019,25/04/2019,21/05/2019,09/05/2019,23/05/2019,10/05/2019,24/05/2019,13/05/2019",11,2019-05-27 00:00:00-03:00,5.3,2,-3.3,2,0,5.3,2,0,2,11,0.37735849056603776,0.37735849056603776
435,6848691,2019-05-28T16:15:02.000-03:00,2019-05-24T16:47:59.000-03:00,"29/03/2019,23/05/2019,26/04/2019,02/04/2019,24/05/2019,02/05/2019,08/04/2019,10/05/2019,12/04/2019,13/05/2019,24/04/2019,17/05/2019,25/04/2019",13,2019-05-27 00:00:00-03:00,4.666666666666667,3,-1.666666666666667,2,1,4.666666666666667,2,1,3,13,0.4285714285714285,0.6428571428571428
436,5684053,2019-05-30T17:24:50.000-03:00,2019-05-24T21:06:09.000-03:00,"25/04/2019,08/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,14.5,5,-9.5,2,3,14.5,2,3,5,3,0.13793103448275867,0.3448275862068966
437,6293716,2019-05-28T17:38:29.000-03:00,2019-05-24T17:17:03.000-03:00,"29/03/2019,08/05/2019,21/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,18.666666666666668,4,-14.666666666666668,2,1,18.666666666666668,2,1,4,4,0.1071428571428571,0.21428571428571427
438,7989657,2019-05-27T15:25:55.000-03:00,2019-05-24T23:33:14.000-03:00,"29/03/2019,09/05/2019,25/04/2019,10/05/2019,28/04/2019,12/05/2019,29/04/2019,18/05/2019,02/05/2019,24/05/2019,06/05/2019",11,2019-05-27 00:00:00-03:00,5.6,2,-3.5999999999999996,2,0,5.6,2,0,2,11,0.3571428571428572,0.35714285714285715
439,7989657,2019-05-27T15:25:55.000-03:00,2019-05-24T23:33:14.000-03:00,"29/03/2019,09/05/2019,25/04/2019,10/05/2019,28/04/2019,12/05/2019,29/04/2019,18/05/2019,02/05/2019,24/05/2019,06/05/2019",11,2019-05-27 00:00:00-03:00,5.6,2,-3.5999999999999996,2,0,5.6,2,0,2,11,0.3571428571428572,0.35714285714285715
440,7989657,2019-05-29T20:16:07.000-03:00,2019-05-27T15:21:10.000-03:00,"25/04/2019,10/05/2019,28/04/2019,12/05/2019,29/04/2019,18/05/2019,02/05/2019,24/05/2019,06/05/2019,27/05/2019,09/05/2019",11,2019-05-27 00:00:00-03:00,5.6,2,-3.5999999999999996,2,0,5.6,2,0,2,11,0.3571428571428572,0.35714285714285715
